"year";"month";"temp";"prec"
1989;10;8,9;56
1989;11;1,1;49
1989;12;1,1;62
1990;1;-1,7;22
1990;2;4,2;84
1990;3;6,5;31
1990;4;6,6;72
1990;5;14,5;61
1990;6;14,9;148
1990;7;16,3;74
1990;8;17,9;47
1990;9;11,4;107
1990;10;9,3;60
1990;11;3,5;75
1990;12;-1,1;47
1991;1;0,3;41
1991;2;-3,9;12
1991;3;5,5;30
1991;4;6,6;28
1991;5;8,7;113
1991;6;14;142
1991;7;18,5;111
1991;8;17,4;82
1991;9;14,3;79
1991;10;6,9;14
1991;11;2,6;52
1991;12;-2,2;66
1992;1;-0,5;14
1992;2;1;41
1992;3;4,2;90
1992;4;7,1;62
1992;5;14,3;7
1992;6;16,5;94
1992;7;18,6;57
1992;8;20,4;81
1992;9;13,2;72
1992;10;7;99
1992;11;5;116
1992;12;-0,5;53
1993;1;2;40
1993;2;-2,6;13
1993;3;2,5;21
1993;4;10,3;31
1993;5;15,2;71
1993;6;15,8;90
1993;7;15,9;198
1993;8;16,4;95
1993;9;12,7;97
1993;10;7,8;97
1993;11;0,2;24
1993;12;3,2;96
1994;1;2,3;55
1994;2;0,5;28
1994;3;7,6;65
1994;4;7,1;92
1994;5;12,9;56
1994;6;16,6;38
1994;7;20,3;79
1994;8;18,3;77
1994;9;13,6;92
1994;10;7;36
1994;11;7,3;60
1994;12;2,7;69
1995;1;-1,4;56
1995;2;4,3;50
1995;3;2,7;66
1995;4;8,6;53
1995;5;12,5;75
1995;6;13,9;153
1995;7;19,6;80
1995;8;16,7;105
1995;9;11,7;53
1995;10;11,1;16
1995;11;1,2;55
1995;12;-1,5;62
1996;1;-3,5;11
1996;2;-2,8;26
1996;3;1;30
1996;4;8,4;23
1996;5;12,6;127
1996;6;17,3;57
1996;7;16,6;136
1996;8;16,7;124
1996;9;10,6;52
1996;10;8,8;58
1996;11;4;74
1996;12;-3,3;41
1997;1;-3,8;2
1997;2;3,5;41
1997;3;6;55
1997;4;6,3;46
1997;5;13,7;29
1997;6;16,2;96
1997;7;17;157
1997;8;18,8;85
1997;9;13,9;19
1997;10;7,4;70
1997;11;3,5;23
1997;12;1,5;70
1998;1;0,8;24
1998;2;2,9;20
1998;3;4,7;38
1998;4;9,1;41
1998;5;14,4;51
1998;6;17,4;99
1998;7;17,8;87
1998;8;18,3;42
1998;9;13,2;127
1998;10;9,6;144
1998;11;1,2;92
1998;12;0;30
1999;1;0,7;53
1999;2;-1;71
1999;3;5,4;45
1999;4;8,9;69
1999;5;14,7;123
1999;6;15,7;91
1999;7;18,7;88
1999;8;17,7;53
1999;9;16,4;63
1999;10;8,9;36
1999;11;1,7;67
1999;12;1;85
2000;1;-1,5;52
2000;2;3,8;72
2000;3;5,3;117
